Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,7.970000,8.030000,7.460000,7.560000,6.386281,45663300
2015-01-08,7.540000,7.710000,7.400000,7.700000,6.504545,57064200
2015-01-15,7.470000,7.740000,7.410000,7.710000,6.512992,41182600
2015-01-22,7.810000,8.130000,7.780000,7.890000,6.665047,84992400
2015-01-29,7.870000,7.880000,7.490000,7.690000,6.496099,75154600
2015-02-05,7.760000,7.870000,7.500000,7.840000,6.622810,50703000
2015-02-12,7.940000,8.090000,7.910000,8.030000,6.783311,38107000
2015-02-19,8.050000,8.090000,7.920000,8.020000,6.774864,43157300
2015-02-26,8.020000,8.140000,7.910000,8.050000,6.800207,44448300
2015-03-05,8.050000,8.070000,7.620000,7.730000,6.529887,111482200
2015-03-12,7.690000,7.930000,7.620000,7.890000,6.665047,185082000
2015-03-19,7.760000,8.030000,7.750000,7.860000,6.639705,143990200
2015-03-26,7.670000,7.750000,7.500000,7.550000,6.377833,83068700
2015-04-02,7.650000,7.860000,7.630000,7.740000,6.538334,49889500
2015-04-09,7.680000,8.370000,7.620000,7.840000,6.622810,362453200
2015-04-16,7.840000,8.020000,7.570000,8.000000,6.757968,254296700
2015-04-23,7.830000,7.920000,7.460000,7.490000,6.327148,129373500
2015-04-30,7.490000,7.490000,6.300000,6.480000,5.473955,238318600
2015-05-07,6.660000,7.040000,6.600000,6.870000,5.948013,140056500
2015-05-14,6.920000,7.180000,6.800000,7.130000,6.173121,83075400
2015-05-21,7.250000,7.430000,7.100000,7.350000,6.363595,62834300
2015-05-28,7.300000,7.410000,7.220000,7.360000,6.372253,54476100
2015-06-04,7.380000,7.480000,7.070000,7.240000,6.268357,51715000
2015-06-11,7.230000,7.260000,6.940000,7.120000,6.164462,46231600
2015-06-18,7.090000,7.390000,7.080000,7.230000,6.259699,53820000
2015-06-25,7.190000,7.260000,6.740000,6.840000,5.922040,79243100
2015-07-02,6.840000,6.840000,6.260000,6.320000,5.471826,72258900
2015-07-09,6.530000,6.810000,6.450000,6.650000,5.757538,82356300
2015-07-16,6.740000,6.850000,6.640000,6.690000,5.792170,52910800
