Time,coinbase,days
2021-04-10 00:00:00 UTC,59847.62723,1
2021-04-11 00:00:00 UTC,59777.29602,2
2021-04-12 00:00:00 UTC,60090.987,3
2021-04-13 00:00:00 UTC,62186.65779,4
2021-04-14 00:00:00 UTC,63432.43177,5
2021-04-15 00:00:00 UTC,62920.74103,6
2021-04-16 00:00:00 UTC,61742.76207,7
2021-04-17 00:00:00 UTC,61316.48724,8
2021-04-18 00:00:00 UTC,56042.50549,9
2021-04-19 00:00:00 UTC,56404.50206,10
2021-04-20 00:00:00 UTC,55528.61904,11
2021-04-21 00:00:00 UTC,55425.52068,12
2021-04-22 00:00:00 UTC,53760.68226,13
2021-04-23 00:00:00 UTC,49843.62719,14
2021-04-24 00:00:00 UTC,50074.03441,15
2021-04-25 00:00:00 UTC,49633.74437,16
2021-04-26 00:00:00 UTC,53049.80441,17
2021-04-27 00:00:00 UTC,54604.46535,18
2021-04-28 00:00:00 UTC,54802.2973,19
2021-04-29 00:00:00 UTC,53878.70088,20
2021-04-30 00:00:00 UTC,55311.13831,21
2021-05-01 00:00:00 UTC,57809.71729,22
2021-05-02 00:00:00 UTC,56853.98251,23
2021-05-03 00:00:00 UTC,57921.82419,24
2021-05-04 00:00:00 UTC,55268.97371,25
2021-05-05 00:00:00 UTC,55911.1133,26
2021-05-06 00:00:00 UTC,56971.75087,27
2021-05-07 00:00:00 UTC,56838.16473,28
2021-05-08 00:00:00 UTC,58555.69021,29
2021-05-09 00:00:00 UTC,57986.91755,30
2021-05-10 00:00:00 UTC,57748.78737,31
2021-05-11 00:00:00 UTC,55864.52116,32
2021-05-12 00:00:00 UTC,56186.06935,33
2021-05-13 00:00:00 UTC,49797.42425,34
2021-05-14 00:00:00 UTC,50193.42073,35
2021-05-15 00:00:00 UTC,48827.31293,36
2021-05-16 00:00:00 UTC,47686.60541,37
2021-05-17 00:00:00 UTC,44279.17149,38
2021-05-18 00:00:00 UTC,44181.67437,39
2021-05-19 00:00:00 UTC,39079.712,40
2021-05-20 00:00:00 UTC,39871.06498,41
2021-05-21 00:00:00 UTC,39067.90011,42
2021-05-22 00:00:00 UTC,37509.15188,43
2021-05-23 00:00:00 UTC,35023.97008,44
2021-05-24 00:00:00 UTC,37045.85738,45
2021-05-25 00:00:00 UTC,38074.49614,46
2021-05-26 00:00:00 UTC,39257.13666,47
2021-05-27 00:00:00 UTC,38807.35125,48
2021-05-28 00:00:00 UTC,36578.82023,49
